date,close,high,low,open,volume,ret
2016-09-09,1330.099976,1338.5,1328.0,1338.5,35,-0.00501202330521455
2016-09-12,1321.0,1329.300049,1319.900024,1327.0,177,-0.00684157293752174
2016-09-13,1319.0,1324.599976,1315.0,1324.599976,79,-0.00151400454201367
2016-09-14,1321.5,1322.300049,1319.199951,1319.199951,73,0.00189537528430628
2016-09-15,1313.5,1320.699951,1310.800049,1320.699951,37,-0.00605372682557703
2016-09-16,1305.800049,1312.599976,1305.800049,1312.199951,4,-0.00586216292348696
2016-09-19,1313.5,1313.5,1313.5,1313.5,20,0.00589673051850226
2016-09-20,1313.699951,1313.699951,1313.699951,1313.699951,97,0.000152227636086799
2016-09-21,1326.900024,1326.900024,1324.0,1326.300049,76,0.0100480120973987
2016-09-22,1340.400024,1340.400024,1338.199951,1338.599976,23,0.0101740898001521
2016-09-23,1337.199951,1337.199951,1337.199951,1337.199951,40,-0.00238740147918703
2016-09-26,1339.699951,1341.800049,1335.199951,1335.199951,24,0.00186957829166112
2016-09-27,1325.900024,1328.699951,1325.900024,1328.0,48,-0.0103007595019312
2016-09-28,1319.400024,1319.400024,1319.400024,1319.400024,10551,-0.00490233040375898
2016-09-29,1321.699951,1325.0,1314.699951,1321.199951,6108,0.00174316125372465
2016-09-30,1313.300049,1327.699951,1312.900024,1320.599976,868,-0.00635537740138725
2016-10-03,1309.0,1316.800049,1308.199951,1313.5,299,-0.00327423196494525
2016-10-04,1266.300049,1310.199951,1266.300049,1307.599976,1893,-0.0326202834224599
2016-10-05,1265.199951,1274.0,1261.300049,1272.099976,246,-0.000868749867670493
2016-10-06,1249.800049,1265.300049,1249.800049,1265.300049,114,-0.0121719116316976
2016-10-07,1248.900024,1263.599976,1248.900024,1253.900024,169,-0.000720135193401528
2016-10-11,1253.0,1258.900024,1253.0,1258.900024,26,0.00328286966227176
2016-10-12,1251.099976,1254.0,1251.099976,1251.699951,127,-0.00151637988826814
2016-10-13,1255.0,1259.0,1255.0,1258.699951,315,0.00311727605692158
2016-10-14,1253.099976,1253.900024,1250.599976,1253.900024,311,-0.00151396334661358
2016-10-17,1254.400024,1255.0,1249.900024,1249.900024,41,0.00103746550546591
2016-10-18,1260.800049,1261.699951,1260.800049,1260.900024,11,0.00510206064855745
2016-10-19,1267.900024,1271.5,1262.900024,1262.900024,219,0.00563132513012787
2016-10-20,1265.599976,1270.5,1265.5,1270.0,415,-0.00181406101148562
2016-10-21,1265.900024,1265.900024,1265.900024,1265.900024,224,0.000237079650513561
2016-10-24,1262.0,1269.199951,1261.800049,1269.199951,42,-0.00308083097089829
2016-10-25,1271.900024,1274.099976,1264.099976,1264.099976,61,0.0078447099841521
2016-10-26,1264.800049,1274.0,1264.800049,1274.0,279,-0.00558218009751377
2016-10-27,1267.900024,1269.400024,1267.900024,1269.400024,338,0.00245096053123262
2016-10-28,1275.5,1281.5,1262.0,1270.300049,560,0.00599414453516878
