date,close,forecast_date,y,lag_1,lag_2,lag_3,lag_5,lag_10,lag_21,rolling_mean_7,rolling_mean_21,rolling_mean_63
2024-02-22,2019.699951,2024-02-22,2019.699951,2022.300049,2027.5,2011.5,1990.300049,2035.199951,2023.699951,2009.471436,2022.723801,2026.611103
2024-02-23,2038.599976,2024-02-23,2038.599976,2019.699951,2022.300049,2027.5,2002.099976,2032.199951,2013.900024,2016.0,2023.89999,2027.234912
2024-02-26,2028.5,2024-02-26,2028.5,2038.599976,2019.699951,2022.300049,2011.5,2023.300049,2016.900024,2021.457136,2024.452369,2027.8238
2024-02-27,2034.0,2024-02-27,2034.0,2028.5,2038.599976,2019.699951,2027.5,2018.199951,2016.800049,2026.014282,2025.271415,2028.328563
2024-02-28,2033.0,2024-02-28,2033.0,2034.0,2028.5,2038.599976,2022.300049,1992.900024,2025.199951,2029.085711,2025.642846,2028.66507
2024-02-29,2045.699951,2024-02-29,2045.699951,2033.0,2034.0,2028.5,2019.699951,1990.300049,2031.5,2031.685704,2026.319034,2028.760308
2024-03-01,2086.899902,2024-03-01,2086.899902,2045.699951,2033.0,2034.0,2038.599976,2002.099976,2048.399902,2040.914254,2028.152367,2029.392053
2024-03-04,2117.699951,2024-03-04,2117.699951,2086.899902,2045.699951,2033.0,2028.5,2011.5,2053.0,2054.914254,2031.233317,2030.655545
2024-03-05,2133.5,2024-03-05,2133.5,2117.699951,2086.899902,2045.699951,2034.0,2027.5,2036.099976,2068.471401,2035.871413,2031.647608
2024-03-06,2150.300049,2024-03-06,2150.300049,2133.5,2117.699951,2086.899902,2033.0,2022.300049,2025.699951,2085.871408,2041.804751,2033.650784
2024-03-07,2158.0,2024-03-07,2158.0,2150.300049,2133.5,2117.699951,2045.699951,2019.699951,2034.5,2103.585693,2047.685704,2035.86507
2024-03-08,2178.600098,2024-03-08,2178.600098,2158.0,2150.300049,2133.5,2086.899902,2038.599976,2035.199951,2124.385707,2054.514282,2038.215865
2024-03-11,2182.5,2024-03-11,2182.5,2178.600098,2158.0,2150.300049,2117.699951,2028.5,2032.199951,2143.928571,2061.671427,2040.638087
2024-03-12,2160.399902,2024-03-12,2160.399902,2182.5,2178.600098,2158.0,2133.5,2034.0,2023.300049,2154.428571,2068.199992,2043.2111
2024-03-13,2175.399902,2024-03-13,2175.399902,2160.399902,2182.5,2178.600098,2150.300049,2033.0,2018.199951,2162.671422,2075.685704,2046.344432
2024-03-14,2163.0,2024-03-14,2163.0,2175.399902,2160.399902,2182.5,2158.0,2045.699951,1992.900024,2166.885707,2083.785703,2049.284114
2024-03-15,2157.300049,2024-03-15,2157.300049,2163.0,2175.399902,2160.399902,2178.600098,2086.899902,1990.300049,2167.885707,2091.738084,2052.061892
2024-03-18,2160.699951,2024-03-18,2160.699951,2157.300049,2163.0,2175.399902,2182.5,2117.699951,2002.099976,2168.271415,2099.290463,2054.13332
2024-03-19,2156.300049,2024-03-19,2156.300049,2160.699951,2157.300049,2163.0,2160.399902,2133.5,2011.5,2165.085693,2106.185704,2056.279353
2024-03-20,2157.899902,2024-03-20,2157.899902,2156.300049,2160.699951,2157.300049,2175.399902,2150.300049,2027.5,2161.571394,2112.395223,2058.36824
2024-03-21,2182.399902,2024-03-21,2182.399902,2157.899902,2156.300049,2160.699951,2163.0,2158.0,2022.300049,2164.714251,2120.019026,2060.653952
2024-03-22,2158.100098,2024-03-22,2158.100098,2182.399902,2157.899902,2156.300049,2157.300049,2178.600098,2019.699951,2162.24285,2126.609509,2062.615858
2024-03-25,2174.800049,2024-03-25,2174.800049,2158.100098,2182.399902,2157.899902,2160.699951,2182.5,2038.599976,2163.928571,2133.095226,2064.769828
2024-03-26,2175.600098,2024-03-26,2175.600098,2174.800049,2158.100098,2182.399902,2156.300049,2160.399902,2028.5,2166.542864,2140.099993,2066.65078
2024-03-27,2190.600098,2024-03-27,2190.600098,2175.600098,2174.800049,2158.100098,2157.899902,2175.399902,2034.0,2170.814314,2147.557141,2068.75237
2024-03-28,2217.399902,2024-03-28,2217.399902,2190.600098,2175.600098,2174.800049,2182.399902,2163.0,2033.0,2179.542864,2156.338088,2070.903163
2024-04-01,2236.5,2024-04-01,2236.5,2217.399902,2190.600098,2175.600098,2158.100098,2157.300049,2045.699951,2190.771449,2165.423805,2073.484117
2024-04-02,2261.0,2024-04-02,2261.0,2236.5,2217.399902,2190.600098,2174.800049,2160.699951,2086.899902,2202.000035,2173.714286,2076.6365
2024-04-03,2294.399902,2024-04-03,2294.399902,2261.0,2236.5,2217.399902,2175.600098,2156.300049,2117.699951,2221.471436,2182.128569,2080.287293
2024-04-04,2288.800049,2024-04-04,2288.800049,2294.399902,2261.0,2236.5,2190.600098,2157.899902,2133.5,2237.75715,2189.52381,2084.328565
2024-04-05,2325.699951,2024-04-05,2325.699951,2288.800049,2294.399902,2261.0,2217.399902,2182.399902,2150.300049,2259.199986,2197.876186,2088.826976
2024-04-08,2331.699951,2024-04-08,2331.699951,2325.699951,2288.800049,2294.399902,2236.5,2158.100098,2158.0,2279.357108,2206.147612,2093.419038
2024-04-09,2343.5,2024-04-09,2343.5,2331.699951,2325.699951,2288.800049,2261.0,2174.800049,2178.600098,2297.371408,2213.999988,2098.449197
2024-04-10,2329.600098,2024-04-10,2329.600098,2343.5,2331.699951,2325.699951,2294.399902,2175.600098,2182.5,2310.671422,2221.004755,2103.261897
2024-04-11,2354.800049,2024-04-11,2354.800049,2329.600098,2343.5,2331.699951,2288.800049,2190.600098,2160.399902,2324.071429,2230.261905,2108.5492
2024-04-12,2356.199951,2024-04-12,2356.199951,2354.800049,2329.600098,2343.5,2325.699951,2217.399902,2175.399902,2332.900007,2238.871431,2113.976183
2024-04-15,2365.800049,2024-04-15,2365.800049,2356.199951,2354.800049,2329.600098,2331.699951,2236.5,2163.0,2343.900007,2248.528576,2119.041264
2024-04-16,2390.800049,2024-04-16,2390.800049,2365.800049,2356.199951,2354.800049,2343.5,2261.0,2157.300049,2353.200021,2259.647624,2124.831741
