date,yhat,yhat_lower,yhat_upper
2018-01-16,1325.39205,1241.770316,1406.443239
2018-01-17,1325.599915,1247.477747,1407.615754
2018-01-18,1325.005888,1241.314145,1405.489802
2018-01-19,1324.003355,1247.654004,1400.166272
2018-01-22,1323.718502,1243.107067,1403.030259
2018-01-23,1323.663507,1247.425458,1409.026835
2018-01-24,1322.732108,1243.666516,1403.782351
2018-01-25,1321.169643,1232.845366,1400.16526
2018-01-26,1319.685883,1239.8365,1404.93093
2018-01-30,1318.839281,1237.467385,1400.097637
2018-01-31,1319.166128,1237.376678,1395.072084
2018-02-01,1319.991564,1248.208488,1402.875769
2018-02-02,1321.246244,1239.516987,1404.981038
2018-02-05,1321.302652,1239.552096,1403.055807
2018-02-06,1319.580522,1245.357512,1404.40143
2018-02-07,1318.238769,1231.645164,1395.272711
2018-02-08,1317.891532,1236.358139,1391.415345
2018-02-09,1318.294137,1236.770104,1401.690191
2018-02-12,1317.343856,1242.300663,1397.859776
2018-02-13,1316.603111,1238.689094,1390.873044
2018-02-14,1316.644394,1234.436668,1396.941588
2018-02-15,1317.364995,1237.194484,1397.463065
2018-02-16,1318.053884,1237.690452,1401.669017
2018-02-20,1316.656717,1243.526101,1398.666015
2018-02-21,1317.161729,1236.247136,1403.547449
2018-02-22,1317.604251,1240.004655,1392.832469
2018-02-23,1317.281925,1238.119402,1396.533705
2018-02-26,1313.268138,1232.794963,1393.716484
2018-02-27,1312.682225,1228.347275,1398.775004
2018-02-28,1312.503438,1235.308997,1391.823844
2018-03-01,1312.37005,1229.630261,1390.12979
2018-03-02,1312.242023,1235.092514,1390.302478
2018-03-05,1313.807051,1236.960754,1394.750122
2018-03-06,1313.916418,1240.78066,1396.150254
2018-03-07,1312.808689,1235.897588,1392.10668
2018-03-08,1310.676153,1227.397542,1390.316091
2018-03-09,1308.416215,1232.025452,1389.989105
2018-03-12,1306.43937,1229.616551,1386.554536
2018-03-13,1305.999225,1226.435203,1384.388716
2018-03-14,1304.915154,1226.864071,1384.412769
2018-03-15,1303.708547,1220.790815,1381.246696
2018-03-16,1303.164585,1226.834573,1383.417242
2018-03-19,1305.218917,1224.646849,1386.873303
2018-03-20,1305.319009,1219.209521,1386.197216
2018-03-21,1305.213693,1225.952557,1386.558772
2018-03-22,1305.632228,1226.348304,1392.842701
2018-03-23,1306.931463,1223.912934,1389.463695
2018-03-26,1311.081034,1225.282589,1390.533778
2018-03-27,1311.365682,1230.541353,1385.734648
2018-03-28,1311.82183,1229.317609,1384.547317
2018-03-29,1312.982284,1230.181564,1394.226064
2018-04-02,1321.519022,1244.973359,1410.971267
2018-04-03,1324.304939,1242.523192,1400.741373
2018-04-04,1327.429815,1252.8436,1406.047454
2018-04-05,1330.245535,1253.328134,1409.878031
2018-04-06,1331.959276,1248.717606,1407.419804
2018-04-09,1331.588209,1247.291736,1408.542333
2018-04-10,1332.101627,1249.920258,1405.684487
2018-04-11,1333.142403,1253.20767,1408.971487
2018-04-12,1333.881774,1252.270312,1414.381372
2018-04-13,1333.69593,1253.906193,1411.366545
2018-04-16,1331.251356,1254.051289,1414.259892
2018-04-17,1331.273116,1253.33084,1411.902741
2018-04-18,1331.075918,1248.219468,1408.134308
2018-04-19,1330.033104,1245.781029,1414.336691
2018-04-20,1328.18348,1253.036479,1415.46958
2018-04-23,1323.712862,1246.092213,1407.216357
2018-04-24,1322.63379,1232.742285,1405.058663
2018-04-25,1320.778464,1241.382296,1401.428463
2018-04-26,1318.045985,1239.51983,1390.819626
2018-04-27,1314.997718,1232.80906,1392.090752
2018-04-30,1309.052478,1223.864468,1391.374496
2018-05-01,1307.818473,1230.66268,1387.48059
2018-05-02,1306.719579,1226.350633,1388.632004
2018-05-03,1306.052841,1234.33026,1385.944561
2018-05-04,1305.995866,1226.013935,1389.411346
2018-05-07,1304.454998,1221.988418,1379.361415
2018-05-08,1302.116218,1216.782458,1386.855175
2018-05-09,1299.736498,1217.802953,1374.60477
2018-05-10,1298.213469,1211.649327,1381.551008
2018-05-11,1297.740169,1216.581818,1379.861104
2018-05-14,1296.116636,1216.964739,1374.236612
2018-05-15,1294.798038,1213.668939,1374.814009
2018-05-16,1294.050103,1215.081176,1375.223664
2018-05-17,1294.152469,1212.443506,1374.432787
2018-05-18,1294.63153,1205.027556,1375.527734
2018-05-21,1292.926041,1215.101909,1371.407917
2018-05-22,1292.169028,1207.527461,1367.369908
2018-05-23,1292.094279,1209.829417,1373.511049
2018-05-24,1292.329894,1211.267286,1370.391083
2018-05-25,1292.109453,1211.928367,1371.693873
2018-05-29,1286.123052,1207.51174,1369.219777
2018-05-30,1285.493997,1206.055935,1366.117179
2018-05-31,1285.094541,1209.521806,1364.388797
2018-06-01,1284.690115,1204.864754,1369.499654
2018-06-04,1285.250121,1206.834338,1365.055373
2018-06-05,1285.624268,1206.013814,1365.00436
2018-06-06,1285.007662,1199.261469,1365.289801
2018-06-07,1283.163035,1192.833381,1360.41059
2018-06-08,1280.678483,1196.805842,1358.939914
2018-06-11,1276.993188,1192.902196,1360.631818
2018-06-12,1276.489294,1198.010026,1363.819417
2018-06-13,1275.274436,1197.665166,1359.544063
2018-06-14,1273.486614,1195.405222,1353.027569
2018-06-15,1271.855902,1193.813302,1358.020318
2018-06-18,1270.508592,1189.672296,1351.419012
2018-06-19,1269.542822,1191.256017,1348.395654
2018-06-20,1267.894816,1186.49001,1347.65102
2018-06-21,1266.202098,1187.942166,1347.057917
